Job;Evaluations;Productivity;Attendance;Absenteeism;Lateness;Discipline;Penalties;Innovation;Problem Solving;Work Quality;Work Completion Time
Multitask Agent;0,75;0,59;0,53;0,02;0,15;0,92;0,00;0,01;0,02;0,70;0,93
Multitask Agent;0,60;0,82;0,82;0,03;0,07;0,83;0,03;0,02;0,02;0,89;0,97
Multitask Agent;0,63;0,61;0,89;0,07;0,13;0,70;0,10;0,05;0,05;0,83;0,95
Multitask Agent;0,68;0,81;0,91;0,06;0,10;0,77;0,04;0,02;0,02;0,95;0,97
Multitask Agent;0,75;0,81;0,66;0,20;0,15;0,81;0,03;0,04;0,04;0,85;0,98
Multitask Agent;0,78;0,59;0,53;0,11;0,01;0,87;0,03;0,05;0,05;0,71;0,91
Multitask Agent;0,92;0,62;0,57;0,03;0,14;0,76;0,05;0,03;0,03;0,73;0,95
Multitask Agent;0,60;0,58;0,76;0,09;0,07;0,83;0,01;0,03;0,00;0,87;0,98
Multitask Agent;0,93;0,89;0,74;0,10;0,15;0,71;0,02;0,04;0,02;0,79;0,95
Multitask Agent;0,68;0,55;0,52;0,13;0,10;0,71;0,10;0,03;0,03;0,82;0,97
Multitask Agent;0,82;0,52;0,69;0,06;0,00;0,76;0,00;0,05;0,01;0,85;0,90
Multitask Agent;0,91;0,54;0,74;0,09;0,09;0,91;0,02;0,00;0,01;0,71;0,99
Multitask Agent;0,91;0,54;0,78;0,12;0,02;0,90;0,00;0,00;0,04;0,84;0,96
Multitask Agent;0,67;0,79;0,61;0,13;0,04;0,84;0,02;0,02;0,05;0,91;0,90
Multitask Agent;0,85;0,59;0,92;0,15;0,07;0,72;0,06;0,01;0,01;0,86;0,95
Multitask Agent;0,72;0,66;0,67;0,04;0,09;0,79;0,03;0,04;0,02;0,73;0,99
Multitask Agent;0,71;0,81;0,59;0,09;0,03;0,91;0,04;0,03;0,02;0,83;0,89
Multitask Agent;0,94;0,54;0,82;0,02;0,12;0,92;0,09;0,03;0,00;0,80;0,97
Multitask Agent;0,66;0,80;0,80;0,01;0,05;0,76;0,08;0,04;0,05;0,75;0,96
Multitask Agent;0,74;0,77;0,53;0,17;0,10;0,78;0,07;0,01;0,05;0,76;0,94
Multitask Agent;0,89;0,70;0,61;0,12;0,02;0,73;0,08;0,04;0,01;0,81;0,91
Multitask Agent;0,92;0,84;0,61;0,03;0,06;0,77;0,01;0,04;0,05;0,79;0,89
Multitask Agent;0,92;0,67;0,62;0,20;0,08;0,82;0,04;0,01;0,05;0,88;0,93
Multitask Agent;0,92;0,84;0,57;0,18;0,08;0,97;0,00;0,03;0,04;0,93;0,90
Multitask Agent;0,86;0,63;0,90;0,19;0,14;0,99;0,06;0,01;0,01;0,84;0,96
Multitask Agent;0,60;0,81;0,75;0,13;0,14;0,98;0,09;0,02;0,00;0,90;0,95
Multitask Agent;0,78;0,53;0,72;0,16;0,08;0,90;0,06;0,00;0,05;0,72;0,96
Multitask Agent;0,60;0,51;0,56;0,16;0,01;0,72;0,07;0,00;0,04;0,89;0,94
Multitask Agent;0,62;0,82;0,77;0,08;0,14;0,93;0,09;0,04;0,01;0,91;0,89
Multitask Agent;0,61;0,54;0,59;0,18;0,06;0,85;0,02;0,00;0,03;0,80;0,95
Multitask Agent;0,90;0,75;0,62;0,04;0,05;0,89;0,04;0,05;0,05;0,86;0,93
Multitask Agent;0,67;0,76;0,67;0,18;0,14;0,85;0,02;0,04;0,03;0,97;0,91
Multitask Agent;0,61;0,55;0,64;0,10;0,10;0,90;0,06;0,00;0,04;0,95;0,91
Multitask Agent;0,74;0,69;0,58;0,14;0,07;0,78;0,06;0,00;0,01;0,88;0,90
Multitask Agent;0,92;0,89;0,86;0,04;0,06;0,99;0,00;0,01;0,00;0,93;0,90
Multitask Agent;0,93;0,88;0,73;0,10;0,03;0,93;0,08;0,04;0,03;0,86;0,96
Multitask Agent;0,70;0,58;0,51;0,16;0,07;0,70;0,02;0,00;0,01;0,71;0,93
Multitask Agent;0,79;0,71;0,92;0,09;0,04;0,86;0,07;0,04;0,04;0,70;0,88
Multitask Agent;0,92;0,82;0,81;0,10;0,02;0,71;0,09;0,01;0,03;0,95;0,94
Multitask Agent;0,80;0,59;0,91;0,18;0,03;0,70;0,05;0,01;0,05;0,77;0,99
Multitask Agent;0,69;0,70;0,91;0,03;0,14;0,85;0,03;0,02;0,01;0,93;0,90
Multitask Agent;0,86;0,59;0,61;0,06;0,01;0,99;0,07;0,02;0,03;0,83;0,96
Multitask Agent;0,82;0,69;0,76;0,11;0,13;0,97;0,06;0,05;0,01;0,94;0,96
Multitask Agent;0,77;0,56;0,63;0,02;0,02;0,91;0,09;0,01;0,05;0,71;0,99
Multitask Agent;0,68;0,62;0,92;0,03;0,13;0,94;0,03;0,03;0,02;0,91;0,88
Multitask Agent;0,90;0,56;0,68;0,16;0,13;0,93;0,03;0,01;0,03;0,94;0,94
Multitask Agent;0,81;0,86;0,62;0,02;0,01;0,98;0,03;0,03;0,05;0,85;0,90
Multitask Agent;0,76;0,51;0,69;0,03;0,12;0,71;0,01;0,01;0,03;0,97;0,97
Multitask Agent;0,78;0,58;0,54;0,01;0,05;0,92;0,10;0,03;0,04;0,91;0,97
Multitask Agent;0,66;0,83;0,51;0,04;0,06;0,79;0,10;0,00;0,04;0,73;0,89
Multitask Agent;0,87;0,71;0,62;0,01;0,02;0,98;0,01;0,00;0,04;0,88;0,94
Multitask Agent;0,65;0,90;0,63;0,16;0,14;0,97;0,03;0,01;0,04;0,74;0,94
Multitask Agent;0,82;0,75;0,87;0,04;0,10;0,75;0,06;0,01;0,04;0,76;0,95
Multitask Agent;0,76;0,65;0,55;0,07;0,02;0,91;0,08;0,04;0,01;0,77;0,98
Multitask Agent;0,90;0,66;0,70;0,12;0,06;0,90;0,03;0,02;0,00;0,81;0,92
Multitask Agent;0,76;0,57;0,58;0,12;0,03;0,79;0,07;0,04;0,01;0,73;0,94
Multitask Agent;0,82;0,56;0,95;0,16;0,00;0,79;0,03;0,00;0,00;0,83;0,96
Multitask Agent;0,90;0,61;0,74;0,06;0,00;0,86;0,01;0,00;0,00;0,70;0,92
Multitask Agent;0,61;0,75;0,57;0,12;0,11;0,92;0,00;0,00;0,00;0,79;0,99
Multitask Agent;0,63;0,60;0,87;0,11;0,01;0,80;0,04;0,04;0,05;0,78;0,88
Multitask Agent;0,73;0,90;0,53;0,17;0,12;0,76;0,01;0,03;0,02;0,81;0,93
Multitask Agent;0,79;0,54;0,81;0,17;0,07;0,99;0,04;0,02;0,05;0,90;0,98
Multitask Agent;0,94;0,83;0,87;0,01;0,15;0,96;0,03;0,01;0,01;0,88;0,88
Multitask Agent;0,71;0,55;0,79;0,17;0,09;0,93;0,10;0,03;0,05;0,77;0,98
Multitask Agent;0,84;0,82;0,51;0,05;0,09;0,85;0,01;0,00;0,03;0,75;0,99
Multitask Agent;0,71;0,56;0,77;0,20;0,12;0,89;0,09;0,05;0,02;0,91;0,97
Multitask Agent;0,84;0,56;0,86;0,08;0,14;0,95;0,09;0,03;0,03;0,93;0,95
Multitask Agent;0,83;0,89;0,77;0,20;0,00;0,84;0,07;0,04;0,02;0,72;0,90
Multitask Agent;0,62;0,58;0,70;0,07;0,12;0,72;0,02;0,03;0,03;0,84;0,99
Multitask Agent;0,66;0,60;0,89;0,05;0,00;0,70;0,05;0,03;0,04;0,84;0,88
Multitask Agent;0,79;0,63;0,83;0,20;0,09;0,71;0,03;0,04;0,02;0,95;0,95
Multitask Agent;0,82;0,61;0,86;0,14;0,14;0,71;0,03;0,03;0,01;0,91;0,97
Multitask Agent;0,91;0,78;0,56;0,11;0,08;0,72;0,05;0,03;0,04;0,90;0,94
Multitask Agent;0,74;0,68;0,74;0,02;0,05;0,81;0,03;0,02;0,02;0,75;0,97
Multitask Agent;0,67;0,77;0,80;0,07;0,06;0,95;0,09;0,00;0,04;0,97;0,97
Multitask Agent;0,92;0,68;0,56;0,14;0,03;0,87;0,03;0,02;0,05;0,85;0,95
Multitask Agent;0,63;0,62;0,82;0,19;0,12;0,73;0,02;0,00;0,03;0,71;0,99
Multitask Agent;0,71;0,58;0,53;0,17;0,11;0,70;0,10;0,01;0,03;0,93;0,97
Multitask Agent;0,89;0,77;0,64;0,14;0,01;0,79;0,03;0,04;0,01;0,88;0,91
Multitask Agent;0,91;0,81;0,87;0,10;0,15;0,86;0,02;0,01;0,03;0,91;0,93
Multitask Agent;0,88;0,55;0,55;0,05;0,10;1,00;0,00;0,00;0,05;0,85;0,99
Multitask Agent;0,80;0,75;0,67;0,16;0,06;0,76;0,02;0,00;0,05;0,78;0,88
Multitask Agent;0,68;0,70;0,57;0,07;0,14;0,84;0,07;0,02;0,05;0,77;0,96
Multitask Agent;0,62;0,78;0,86;0,14;0,11;0,73;0,00;0,01;0,05;0,86;0,94
Multitask Agent;0,94;0,76;0,68;0,16;0,08;0,93;0,08;0,01;0,02;0,89;0,98
Multitask Agent;0,68;0,74;0,89;0,01;0,10;0,86;0,06;0,01;0,05;0,94;0,96
Multitask Agent;0,74;0,71;0,54;0,10;0,13;0,83;0,02;0,03;0,03;0,70;0,91
Multitask Agent;0,66;0,67;0,74;0,10;0,11;0,71;0,10;0,05;0,02;0,82;0,88
Multitask Agent;0,61;0,53;0,61;0,10;0,02;0,71;0,09;0,05;0,01;0,74;0,94
Multitask Agent;0,92;0,88;0,51;0,18;0,09;0,81;0,09;0,04;0,02;0,97;0,94
Multitask Agent;0,79;0,79;0,52;0,13;0,07;0,94;0,00;0,04;0,00;0,74;0,93
Multitask Agent;0,68;0,65;0,79;0,08;0,07;0,73;0,05;0,03;0,01;0,96;0,92
Multitask Agent;0,81;0,88;0,92;0,02;0,02;0,92;0,10;0,01;0,00;0,81;0,95
Multitask Agent;0,83;0,81;0,51;0,16;0,11;0,87;0,00;0,04;0,05;0,74;0,95
Multitask Agent;0,89;0,85;0,81;0,01;0,15;1,00;0,09;0,03;0,04;0,95;0,96
Multitask Agent;0,64;0,61;0,60;0,06;0,00;0,81;0,02;0,00;0,02;0,70;0,91
Multitask Agent;0,60;0,71;0,63;0,14;0,08;0,75;0,05;0,04;0,01;0,74;0,88
Multitask Agent;0,91;0,69;0,94;0,04;0,03;0,97;0,02;0,02;0,01;0,76;0,94
Multitask Agent;0,88;0,67;0,82;0,10;0,08;0,97;0,10;0,05;0,01;0,73;0,99
Multitask Agent;0,65;0,58;0,78;0,12;0,03;0,73;0,06;0,02;0,05;0,75;0,88
Multitask Agent;0,77;0,66;0,51;0,14;0,03;0,94;0,05;0,02;0,03;0,91;0,90
Multitask Agent;0,77;0,58;0,71;0,02;0,03;0,70;0,05;0,04;0,02;0,90;0,89
Multitask Agent;0,85;0,54;0,76;0,11;0,06;0,96;0,04;0,02;0,03;0,75;0,90
Multitask Agent;0,80;0,70;0,87;0,01;0,05;0,93;0,04;0,00;0,05;0,92;0,96
Multitask Agent;0,78;0,52;0,58;0,08;0,11;0,92;0,06;0,00;0,03;0,71;0,99
Multitask Agent;0,68;0,57;0,70;0,16;0,04;0,85;0,01;0,00;0,05;0,89;0,90
Multitask Agent;0,81;0,52;0,56;0,12;0,14;0,88;0,05;0,04;0,05;0,84;0,96
Multitask Agent;0,64;0,68;0,70;0,10;0,02;0,94;0,10;0,05;0,02;0,82;0,99
Multitask Agent;0,81;0,64;0,61;0,18;0,12;0,81;0,10;0,05;0,04;0,94;0,92
Multitask Agent;0,78;0,54;0,66;0,01;0,07;0,77;0,03;0,01;0,01;0,84;0,96
Multitask Agent;0,65;0,83;0,72;0,12;0,14;0,81;0,05;0,04;0,01;0,94;0,93
Multitask Agent;0,68;0,61;0,71;0,08;0,06;0,95;0,05;0,02;0,01;0,97;0,94
Multitask Agent;0,89;0,65;0,77;0,07;0,06;0,95;0,10;0,01;0,00;0,89;0,89
Multitask Agent;0,68;0,53;0,58;0,07;0,10;0,98;0,05;0,01;0,01;0,87;0,92
Multitask Agent;0,66;0,64;0,75;0,09;0,13;0,70;0,00;0,02;0,01;0,80;0,97
Multitask Agent;0,77;0,55;0,63;0,12;0,01;0,75;0,00;0,05;0,01;0,86;0,95
Multitask Agent;0,70;0,63;0,72;0,12;0,02;0,73;0,04;0,00;0,04;0,92;0,96
Multitask Agent;0,82;0,78;0,79;0,19;0,03;0,81;0,06;0,00;0,00;0,88;0,88
Multitask Agent;0,90;0,62;0,93;0,14;0,08;0,89;0,03;0,03;0,02;0,86;0,91
Multitask Agent;0,78;0,78;0,62;0,11;0,13;0,73;0,10;0,03;0,00;0,83;0,89
Multitask Agent;0,75;0,62;0,94;0,12;0,02;0,98;0,03;0,03;0,01;0,74;0,89
Multitask Agent;0,89;0,62;0,87;0,12;0,10;0,81;0,05;0,01;0,00;0,87;0,95
Multitask Agent;0,66;0,56;0,71;0,10;0,14;0,84;0,04;0,00;0,00;0,71;0,92
Multitask Agent;0,88;0,60;0,65;0,18;0,04;0,86;0,07;0,03;0,01;0,91;0,95
Multitask Agent;0,92;0,87;0,52;0,09;0,15;0,83;0,01;0,05;0,03;0,73;0,97
Multitask Agent;0,93;0,79;0,54;0,09;0,08;0,91;0,10;0,02;0,01;0,85;0,97
Multitask Agent;0,87;0,88;0,88;0,09;0,12;1,00;0,04;0,02;0,00;0,95;0,98
Multitask Agent;0,89;0,90;0,94;0,10;0,11;0,82;0,01;0,01;0,01;0,80;0,96
Multitask Agent;0,88;0,80;0,89;0,10;0,06;0,73;0,06;0,02;0,05;0,88;0,92
Multitask Agent;0,62;0,65;0,87;0,17;0,15;0,74;0,05;0,05;0,00;0,75;0,99
Multitask Agent;0,65;0,63;0,60;0,11;0,13;0,77;0,01;0,01;0,01;0,97;0,93
Multitask Agent;0,71;0,89;0,72;0,02;0,08;0,82;0,01;0,00;0,02;0,91;0,90
Multitask Agent;0,90;0,57;0,75;0,12;0,00;0,82;0,00;0,02;0,04;0,94;0,90
Multitask Agent;0,65;0,72;0,76;0,07;0,01;0,84;0,00;0,04;0,01;0,70;0,96
Multitask Agent;0,72;0,53;0,69;0,11;0,07;0,80;0,03;0,05;0,03;0,73;0,92
Multitask Agent;0,82;0,61;0,91;0,17;0,13;0,87;0,03;0,01;0,01;0,87;0,95
Multitask Agent;0,68;0,79;0,75;0,13;0,01;0,96;0,10;0,04;0,00;0,72;0,98
Multitask Agent;0,90;0,80;0,76;0,13;0,05;0,88;0,10;0,02;0,02;0,82;0,99
Multitask Agent;0,70;0,67;0,65;0,08;0,13;0,72;0,08;0,01;0,05;0,91;0,92
Multitask Agent;0,95;0,79;0,79;0,15;0,00;0,85;0,05;0,00;0,02;0,82;0,93
Multitask Agent;0,86;0,84;0,89;0,02;0,14;0,94;0,08;0,02;0,03;0,78;0,92
Multitask Agent;0,78;0,67;0,58;0,07;0,11;0,87;0,03;0,01;0,01;0,81;0,94
Multitask Agent;0,65;0,56;0,90;0,01;0,05;0,85;0,04;0,00;0,01;0,79;0,93
Multitask Agent;0,87;0,65;0,59;0,13;0,13;0,87;0,01;0,05;0,04;0,74;0,96
Multitask Agent;0,69;0,66;0,63;0,08;0,00;0,83;0,09;0,04;0,03;0,92;0,97
Multitask Agent;0,82;0,87;0,53;0,10;0,13;0,73;0,09;0,04;0,05;0,82;0,91
Multitask Agent;0,81;0,62;0,76;0,05;0,12;0,78;0,09;0,00;0,05;0,84;0,94
Multitask Agent;0,77;0,73;0,75;0,13;0,10;0,80;0,01;0,00;0,00;0,86;0,91
Multitask Agent;0,89;0,70;0,58;0,16;0,00;0,79;0,10;0,02;0,03;0,74;0,92
Multitask Agent;0,72;0,67;0,86;0,02;0,01;0,84;0,06;0,04;0,00;0,90;0,98
Multitask Agent;0,71;0,57;0,79;0,10;0,11;0,80;0,07;0,00;0,02;0,90;0,92
Multitask Agent;0,88;0,71;0,57;0,17;0,02;0,79;0,09;0,05;0,01;0,82;0,89
Multitask Agent;0,72;0,74;0,66;0,06;0,08;0,87;0,01;0,02;0,00;0,92;0,97
Multitask Agent;0,79;0,68;0,77;0,16;0,05;0,84;0,05;0,05;0,04;0,86;0,94
Multitask Agent;0,85;0,59;0,64;0,11;0,14;0,89;0,08;0,05;0,01;0,88;0,97
Multitask Agent;0,91;0,70;0,93;0,05;0,09;0,97;0,01;0,05;0,02;0,79;0,95
Multitask Agent;0,89;0,72;0,60;0,11;0,14;0,98;0,02;0,00;0,03;0,70;0,95
Multitask Agent;0,61;0,87;0,58;0,07;0,03;0,85;0,06;0,00;0,02;0,70;0,89
Multitask Agent;0,71;0,84;0,67;0,09;0,05;0,90;0,07;0,00;0,03;0,80;0,99
Multitask Agent;0,83;0,72;0,90;0,10;0,02;0,85;0,05;0,03;0,05;0,86;0,98
Multitask Agent;0,86;0,88;0,75;0,08;0,00;0,70;0,02;0,01;0,02;0,82;0,93
Multitask Agent;0,67;0,84;0,72;0,01;0,14;0,82;0,08;0,01;0,00;0,74;0,90
Multitask Agent;0,95;0,59;0,85;0,17;0,09;0,91;0,08;0,04;0,05;0,90;0,97
Multitask Agent;0,61;0,60;0,80;0,13;0,05;0,78;0,06;0,05;0,02;0,92;0,99
Multitask Agent;0,72;0,73;0,66;0,04;0,12;0,76;0,00;0,04;0,05;0,93;0,91
Multitask Agent;0,66;0,67;0,71;0,17;0,07;0,84;0,04;0,05;0,03;0,93;0,90
Multitask Agent;0,83;0,68;0,63;0,20;0,02;0,72;0,04;0,00;0,00;0,89;0,98
Multitask Agent;0,63;0,84;0,73;0,12;0,07;0,73;0,06;0,05;0,05;0,80;0,94
Multitask Agent;0,64;0,53;0,61;0,15;0,00;0,72;0,08;0,00;0,02;0,80;0,95
Multitask Agent;0,79;0,55;0,61;0,18;0,02;0,74;0,04;0,03;0,05;0,93;0,94
Multitask Agent;0,91;0,53;0,60;0,15;0,14;0,86;0,03;0,03;0,00;0,94;0,98
Multitask Agent;0,61;0,61;0,75;0,04;0,00;0,92;0,00;0,02;0,00;0,73;0,94
Multitask Agent;0,84;0,74;0,73;0,14;0,09;0,85;0,01;0,01;0,05;0,71;0,99
Multitask Agent;0,76;0,51;0,53;0,18;0,12;1,00;0,05;0,05;0,01;0,84;0,91
Multitask Agent;0,84;0,90;0,62;0,10;0,07;0,91;0,08;0,00;0,05;0,75;0,96
Multitask Agent;0,65;0,81;0,89;0,14;0,09;0,70;0,00;0,03;0,02;0,87;0,96
Multitask Agent;0,90;0,73;0,78;0,16;0,13;0,78;0,04;0,04;0,03;0,89;0,93
Multitask Agent;0,68;0,64;0,55;0,12;0,08;0,76;0,00;0,02;0,05;0,92;0,99
Multitask Agent;0,86;0,82;0,60;0,04;0,09;0,71;0,04;0,04;0,01;0,90;0,90
Multitask Agent;0,66;0,86;0,55;0,03;0,03;0,83;0,09;0,01;0,00;0,87;0,89
Multitask Agent;0,92;0,56;0,72;0,19;0,11;0,86;0,06;0,02;0,02;0,83;0,90
Multitask Agent;0,68;0,75;0,56;0,09;0,00;0,87;0,03;0,05;0,00;0,75;0,99
Multitask Agent;0,84;0,70;0,73;0,18;0,11;0,94;0,08;0,02;0,01;0,91;0,90
Multitask Agent;0,91;0,78;0,92;0,08;0,02;0,86;0,03;0,00;0,02;0,93;0,95
Multitask Agent;0,65;0,51;0,92;0,17;0,12;0,76;0,05;0,04;0,01;0,80;0,95
Multitask Agent;0,81;0,90;0,58;0,07;0,06;0,94;0,04;0,05;0,04;0,78;0,93
Multitask Agent;0,67;0,81;0,72;0,10;0,04;0,90;0,07;0,00;0,00;0,71;0,96
Multitask Agent;0,76;0,72;0,79;0,17;0,05;0,72;0,03;0,03;0,01;0,78;0,92
Multitask Agent;0,63;0,53;0,62;0,10;0,11;0,79;0,10;0,05;0,03;0,78;0,96
Multitask Agent;0,69;0,76;0,64;0,07;0,00;0,82;0,08;0,05;0,01;0,81;0,98
Multitask Agent;0,71;0,80;0,60;0,17;0,10;0,85;0,00;0,02;0,05;0,77;0,93
Multitask Agent;0,65;0,58;0,94;0,01;0,12;0,99;0,01;0,04;0,02;0,74;0,89
Multitask Agent;0,94;0,67;0,85;0,18;0,09;0,82;0,01;0,04;0,01;0,90;0,97
Multitask Agent;0,95;0,78;0,66;0,17;0,10;0,73;0,08;0,00;0,02;0,88;0,92
Multitask Agent;0,83;0,69;0,71;0,08;0,14;1,00;0,10;0,00;0,04;0,79;0,99
Multitask Agent;0,93;0,84;0,77;0,05;0,05;0,74;0,02;0,04;0,05;0,73;0,89
Multitask Agent;0,72;0,74;0,60;0,20;0,00;0,89;0,06;0,02;0,05;0,86;0,91
Multitask Agent;0,63;0,87;0,71;0,18;0,06;0,76;0,00;0,02;0,02;0,80;0,89
Multitask Agent;0,80;0,78;0,92;0,18;0,04;0,82;0,04;0,04;0,01;0,85;0,88
Multitask Agent;0,68;0,64;0,83;0,15;0,02;0,90;0,10;0,03;0,00;0,70;0,93
Multitask Agent;0,76;0,56;0,92;0,18;0,13;0,96;0,00;0,00;0,00;0,74;0,95
Multitask Agent;0,90;0,55;0,74;0,16;0,07;0,85;0,08;0,02;0,01;0,95;0,97
Multitask Agent;0,78;0,79;0,87;0,10;0,00;0,76;0,08;0,05;0,03;0,70;0,93
Multitask Agent;0,72;0,78;0,66;0,03;0,08;0,70;0,03;0,05;0,01;0,71;0,96
Multitask Agent;0,64;0,82;0,82;0,11;0,09;0,80;0,10;0,00;0,00;0,70;0,93
Multitask Agent;0,88;0,62;0,51;0,15;0,15;0,97;0,02;0,05;0,01;0,76;0,93
Multitask Agent;0,72;0,76;0,92;0,15;0,08;0,88;0,07;0,00;0,04;0,93;0,97
Multitask Agent;0,61;0,58;0,60;0,10;0,14;0,96;0,09;0,02;0,00;0,87;0,90
Multitask Agent;0,62;0,58;0,85;0,08;0,11;0,97;0,04;0,01;0,01;0,97;0,90
Multitask Agent;0,90;0,89;0,63;0,14;0,15;0,79;0,05;0,05;0,04;0,73;0,89
Multitask Agent;0,71;0,72;0,68;0,02;0,14;0,75;0,02;0,05;0,05;0,76;0,95
Multitask Agent;0,77;0,77;0,87;0,19;0,04;0,76;0,04;0,02;0,01;0,93;0,95
Multitask Agent;0,66;0,72;0,74;0,08;0,00;0,91;0,00;0,05;0,00;0,89;0,96
Multitask Agent;0,87;0,65;0,59;0,07;0,14;0,75;0,00;0,02;0,03;0,82;0,93
Multitask Agent;0,88;0,57;0,64;0,20;0,00;0,80;0,01;0,02;0,00;0,71;0,96
Multitask Agent;0,80;0,78;0,65;0,07;0,15;0,85;0,01;0,02;0,04;0,97;0,93
Multitask Agent;0,90;0,87;0,77;0,04;0,09;0,83;0,08;0,02;0,05;0,78;0,89
Multitask Agent;0,67;0,59;0,71;0,19;0,14;0,99;0,02;0,05;0,01;0,77;0,96
Multitask Agent;0,89;0,87;0,53;0,19;0,14;0,80;0,03;0,04;0,01;0,83;0,90
Multitask Agent;0,66;0,70;0,89;0,02;0,04;0,85;0,02;0,03;0,03;0,85;0,98
Multitask Agent;0,91;0,56;0,56;0,04;0,11;0,75;0,07;0,05;0,00;0,89;0,91
Multitask Agent;0,94;0,86;0,86;0,02;0,15;0,91;0,07;0,00;0,05;0,83;0,93
Multitask Agent;0,73;0,83;0,72;0,18;0,06;0,84;0,08;0,05;0,00;0,93;0,99
Multitask Agent;0,77;0,51;0,58;0,13;0,06;0,72;0,02;0,01;0,00;0,72;0,88
Multitask Agent;0,85;0,74;0,84;0,08;0,04;0,88;0,04;0,03;0,02;0,97;0,93
Multitask Agent;0,95;0,88;0,66;0,14;0,12;0,87;0,03;0,04;0,01;0,81;0,99
Multitask Agent;0,80;0,51;0,57;0,08;0,12;0,73;0,02;0,00;0,04;0,80;0,98
Multitask Agent;0,65;0,88;0,82;0,02;0,02;0,79;0,02;0,05;0,03;0,94;0,90
Multitask Agent;0,86;0,88;0,72;0,06;0,03;0,82;0,10;0,01;0,02;0,72;0,89
Multitask Agent;0,85;0,76;0,88;0,04;0,10;0,88;0,10;0,00;0,00;0,96;0,91
Multitask Agent;0,90;0,72;0,62;0,16;0,14;0,79;0,00;0,04;0,05;0,95;0,94
Multitask Agent;0,81;0,57;0,77;0,07;0,13;0,80;0,07;0,01;0,02;0,93;0,94
Multitask Agent;0,92;0,74;0,64;0,12;0,15;0,84;0,10;0,01;0,05;0,79;0,93
Multitask Agent;0,93;0,80;0,78;0,20;0,04;0,94;0,03;0,04;0,05;0,90;0,95
Multitask Agent;0,70;0,64;0,73;0,16;0,02;0,76;0,06;0,00;0,05;0,95;0,99
Multitask Agent;0,80;0,75;0,80;0,14;0,14;0,97;0,00;0,01;0,02;0,89;0,99
Multitask Agent;0,68;0,82;0,63;0,05;0,10;0,92;0,00;0,01;0,02;0,88;0,94
Multitask Agent;0,95;0,55;0,93;0,02;0,14;0,82;0,02;0,04;0,02;0,72;0,96
Multitask Agent;0,75;0,64;0,85;0,02;0,08;0,96;0,02;0,01;0,02;0,73;0,98
Multitask Agent;0,82;0,66;0,83;0,01;0,12;0,97;0,00;0,03;0,01;0,97;0,92
Multitask Agent;0,75;0,70;0,57;0,03;0,11;0,72;0,06;0,01;0,00;0,89;0,89
Multitask Agent;0,75;0,54;0,55;0,13;0,08;0,84;0,10;0,04;0,05;0,97;0,88
Multitask Agent;0,65;0,77;0,90;0,03;0,08;0,99;0,08;0,01;0,00;0,85;0,91
Multitask Agent;0,75;0,54;0,62;0,04;0,09;0,77;0,10;0,01;0,04;0,71;0,90
Multitask Agent;0,83;0,58;0,80;0,04;0,13;0,99;0,08;0,00;0,05;0,96;0,94
Multitask Agent;0,89;0,67;0,55;0,16;0,15;0,84;0,02;0,02;0,04;0,87;0,89
Multitask Agent;0,62;0,87;0,57;0,18;0,04;0,97;0,03;0,03;0,03;0,97;0,99
Multitask Agent;0,93;0,70;0,51;0,09;0,11;0,78;0,02;0,03;0,01;0,78;0,95
Multitask Agent;0,78;0,79;0,90;0,06;0,12;0,74;0,05;0,05;0,04;0,72;0,89
Multitask Agent;0,94;0,80;0,78;0,14;0,00;0,88;0,01;0,01;0,00;0,70;0,97
Multitask Agent;0,64;0,82;0,85;0,04;0,12;0,82;0,03;0,05;0,04;0,70;0,93
Multitask Agent;0,71;0,60;0,70;0,18;0,14;0,83;0,09;0,02;0,02;0,74;0,96
Multitask Agent;0,78;0,64;0,76;0,04;0,14;0,74;0,02;0,00;0,01;0,76;0,93
Multitask Agent;0,61;0,78;0,86;0,15;0,13;0,79;0,06;0,05;0,04;0,86;0,95
Multitask Agent;0,84;0,89;0,93;0,04;0,01;0,76;0,06;0,00;0,04;0,79;0,98
Multitask Agent;0,70;0,89;0,76;0,15;0,05;0,79;0,03;0,00;0,02;0,86;0,98
Multitask Agent;0,65;0,89;0,73;0,10;0,06;0,73;0,01;0,04;0,00;0,79;0,96
Multitask Agent;0,94;0,60;0,62;0,13;0,02;0,90;0,03;0,01;0,03;0,83;0,93
Multitask Agent;0,95;0,89;0,80;0,09;0,08;0,72;0,00;0,03;0,04;0,82;0,97
Multitask Agent;0,78;0,51;0,79;0,08;0,11;0,75;0,04;0,04;0,00;0,95;0,88
Multitask Agent;0,81;0,62;0,83;0,02;0,12;0,75;0,02;0,04;0,05;0,87;0,95
Multitask Agent;0,78;0,87;0,61;0,08;0,05;0,73;0,00;0,03;0,03;0,89;0,91
Multitask Agent;0,64;0,57;0,83;0,01;0,13;0,81;0,04;0,01;0,02;0,90;0,95
Multitask Agent;0,72;0,71;0,91;0,05;0,07;0,96;0,10;0,00;0,02;0,78;0,99
Multitask Agent;0,62;0,75;0,74;0,18;0,04;1,00;0,04;0,01;0,00;0,75;0,95
Multitask Agent;0,68;0,62;0,52;0,04;0,01;0,81;0,06;0,03;0,01;0,82;0,91
Multitask Agent;0,79;0,70;0,86;0,20;0,12;0,85;0,00;0,05;0,05;0,96;0,93
